id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1295922,Dayrut Subdivision,27.537369888000086,30.787146271545225,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,98.99093,8.476320654319329e-08,t of CH4 per MJ,1167852586.48228,MJ,112013655.41304,m^2,10.42598406574566,2024,egy_ch4_source.csv,,,,,,,,,,,
1293895,As-Salam Subdivision,30.163928031500095,31.42719112493201,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,98.17906,5.059838446896432e-08,t of CH4 per MJ,1940359579.27116,MJ,186108050.49240005,m^2,10.425984121253242,2024,egy_ch4_source.csv,,,,,,,,,,,
1293892,An-Nuzhah Subdivision,30.115726471500153,31.39192149029979,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,97.76778,5.860451868462172e-08,t of CH4 per MJ,1668263509.27194,MJ,160010173.02468,m^2,10.42598403424404,2024,egy_ch4_source.csv,,,,,,,,,,,
1293752,As-Sinbillawayn Subdivision,30.890302658500133,31.509137144370136,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,97.15435,6.637025210501692e-08,t of CH4 per MJ,1463823730.03908,MJ,140401493.54448003,m^2,10.425984033961376,2024,egy_ch4_source.csv,,,,,,,,,,,
1293884,Al-Basatin Subdivision,29.979904175500113,31.2946594145481,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,95.95456,5.6020861899227714e-08,t of CH4 per MJ,1712836196.1407597,MJ,164285325.99228,m^2,10.425984096846532,2024,egy_ch4_source.csv,,,,,,,,,,,
1293936,Unorganized in Al Uqsur Subdivision,25.63372802800012,32.715845395537066,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,94.32878,5.220514514686935e-07,t of CH4 per MJ,180688665.33102,MJ,17330610.17328,m^2,10.425984055056658,2024,egy_ch4_source.csv,,,,,,,,,,,
1293872,Maghaghah Subdivision,28.640451432000162,30.806738131494896,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,94.24006,9.372168997014497e-08,t of CH4 per MJ,1005530950.51978,MJ,96444704.86428005,m^2,10.425984007466187,2024,egy_ch4_source.csv,,,,,,,,,,,
1295914,Asyut Subdivision,27.118159991500047,31.233248101504174,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,94.0635,9.317562910481545e-08,t of CH4 per MJ,1009529003.49281,MJ,96828174.40811998,m^2,10.425984065730264,2024,egy_ch4_source.csv,,,,,,,,,,,
1293847,Bulaq al-Dakrur Subdivision,30.033971786500103,31.18977469246066,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,93.80262,1.1647058115472345e-07,t of CH4 per MJ,805376079.26408,MJ,77247007.95156,m^2,10.42598413350993,2024,egy_ch4_source.csv,,,,,,,,,,,
1293907,Helwan Subdivision,29.851764679500178,31.32688012688237,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,93.62614000000002,3.99136069039572e-08,t of CH4 per MJ,2345719850.0072803,MJ,224987860.02252,m^2,10.42598409430841,2024,egy_ch4_source.csv,,,,,,,,,,,
1293772,Abu al-Matamir Subdivision,30.773619652000114,30.1445680817507,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,93.18328,4.0133703382461755e-08,t of CH4 per MJ,2321821116.58105,MJ,222695632.43892,m^2,10.42598407141132,2024,egy_ch4_source.csv,,,,,,,,,,,
1293754,Bilqas Subdivision,31.325012207500063,31.38192598182556,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,91.14896,5.1875796808328765e-08,t of CH4 per MJ,1757061396.79701,MJ,168527151.15708,m^2,10.425984090594971,2024,egy_ch4_source.csv,,,,,,,,,,,
1293866,Abu Qurqas Subdivision,27.934780733000018,30.776382415864525,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,91.06513,9.119787469606117e-08,t of CH4 per MJ,998544432.13174,MJ,95774597.84064,m^2,10.42598407766979,2024,egy_ch4_source.csv,,,,,,,,,,,
1293929,Shibin al-Qanatir Subdivision,30.29766559550015,31.309748680620167,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,90.33444,7.354017489645391e-08,t of CH4 per MJ,1228368577.1375,MJ,117817999.24463998,m^2,10.4259840178315,2024,egy_ch4_source.csv,,,,,,,,,,,
1296032,Disuq Subdivision,31.15233325950004,30.702834674616938,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,89.89385999999999,9.102134053877834e-08,t of CH4 per MJ,987613008.8602902,MJ,94726119.13176,m^2,10.425984067673696,2024,egy_ch4_source.csv,,,,,,,,,,,
1293909,Nasr City 1 Subdivision,30.027889251500085,31.368050126200988,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,89.36887,2.3412460916394992e-08,t of CH4 per MJ,3817149778.45058,MJ,366118897.7994001,m^2,10.425984021567857,2024,egy_ch4_source.csv,,,,,,,,,,,
1293826,Sidi Jabir Subdivision,31.213902473500063,29.953995835394693,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,88.42130999999999,9.878514081437489e-08,t of CH4 per MJ,895087148.4421998,MJ,85851574.48811997,m^2,10.4259840751792,2024,egy_ch4_source.csv,,,,,,,,,,,
